profileID,respID,obsID,qID,altID,choice,price,fuelEconomy,accelTime,powertrain,group
47,9,67,3,1,0,20,20,8,Electric,A
52,9,67,3,2,1,15,30,8,Electric,A
10,9,67,3,3,0,15,20,7,Gasoline,A
40,9,68,4,1,0,15,25,7,Electric,A
46,9,68,4,2,1,15,20,8,Electric,A
5,9,68,4,3,0,20,25,6,Gasoline,A
15,9,69,5,1,1,25,25,7,Gasoline,A
3,9,69,5,2,0,25,20,6,Gasoline,A
39,9,69,5,3,0,25,20,7,Electric,A
19,9,70,6,1,0,15,20,8,Gasoline,A
14,9,70,6,2,1,20,25,7,Gasoline,A
18,9,70,6,3,0,25,30,7,Gasoline,A
47,9,71,7,1,0,20,20,8,Electric,A
31,9,71,7,2,1,15,25,6,Electric,A
13,9,71,7,3,0,15,25,7,Gasoline,A
36,9,72,8,1,0,25,30,6,Electric,A
52,9,72,8,2,1,15,30,8,Electric,A
50,9,72,8,3,0,20,25,8,Electric,A
21,10,73,1,1,0,25,20,8,Gasoline,A
37,10,73,1,2,1,15,20,7,Electric,A
41,10,73,1,3,0,20,25,7,Electric,A
51,10,74,2,1,0,25,25,8,Electric,A
46,10,74,2,2,1,15,20,8,Electric,A
48,10,74,2,3,0,25,20,8,Electric,A
41,10,75,3,1,0,20,25,7,Electric,A
21,10,75,3,2,1,25,20,8,Gasoline,A
12,10,75,3,3,0,25,20,7,Gasoline,A
37,10,76,4,1,1,15,20,7,Electric,A
18,10,76,4,2,0,25,30,7,Gasoline,A
26,10,76,4,3,0,20,30,8,Gasoline,A
52,10,77,5,1,0,15,30,8,Electric,A
12,10,77,5,2,0,25,20,7,Gasoline,A
13,10,77,5,3,1,15,25,7,Gasoline,A
45,10,78,6,1,0,25,30,7,Electric,A
47,10,78,6,2,0,20,20,8,Electric,A
7,10,78,6,3,1,15,30,6,Gasoline,A
30,10,79,7,1,0,25,20,6,Electric,A
7,10,79,7,2,1,15,30,6,Gasoline,A
5,10,79,7,3,0,20,25,6,Gasoline,A
11,10,80,8,1,0,20,20,7,Gasoline,A
34,10,80,8,2,1,15,30,6,Electric,A
52,10,80,8,3,0,15,30,8,Electric,A
35,11,81,1,1,0,20,30,6,Electric,A
43,11,81,1,2,1,15,30,7,Electric,A
15,11,81,1,3,0,25,25,7,Gasoline,A
23,11,82,2,1,0,20,25,8,Gasoline,A
22,11,82,2,2,1,15,25,8,Gasoline,A
34,11,82,2,3,0,15,30,6,Electric,A
17,11,83,3,1,0,20,30,7,Gasoline,A
49,11,83,3,2,0,15,25,8,Electric,A
1,11,83,3,3,1,15,20,6,Gasoline,A
26,11,84,4,1,0,20,30,8,Gasoline,A
50,11,84,4,2,0,20,25,8,Electric,A
49,11,84,4,3,1,15,25,8,Electric,A
24,11,85,5,1,0,25,25,8,Gasoline,A
39,11,85,5,2,0,25,20,7,Electric,A
54,11,85,5,3,1,25,30,8,Electric,A
32,11,86,6,1,0,20,25,6,Electric,A
31,11,86,6,2,0,15,25,6,Electric,A
46,11,86,6,3,1,15,20,8,Electric,A
9,11,87,7,1,0,25,30,6,Gasoline,A
32,11,87,7,2,0,20,25,6,Electric,A
10,11,87,7,3,1,15,20,7,Gasoline,A
26,11,88,8,1,0,20,30,8,Gasoline,A
22,11,88,8,2,1,15,25,8,Gasoline,A
9,11,88,8,3,0,25,30,6,Gasoline,A
2,12,89,1,1,0,20,20,6,Gasoline,A
17,12,89,1,2,0,20,30,7,Gasoline,A
43,12,89,1,3,1,15,30,7,Electric,A
22,12,90,2,1,1,15,25,8,Gasoline,A
39,12,90,2,2,0,25,20,7,Electric,A
36,12,90,2,3,0,25,30,6,Electric,A
38,12,91,3,1,0,20,20,7,Electric,A
24,12,91,3,2,0,25,25,8,Gasoline,A
16,12,91,3,3,1,15,30,7,Gasoline,A
23,12,92,4,1,0,20,25,8,Gasoline,A
14,12,92,4,2,0,20,25,7,Gasoline,A
25,12,92,4,3,1,15,30,8,Gasoline,A
9,12,93,5,1,0,25,30,6,Gasoline,A
1,12,93,5,2,1,15,20,6,Gasoline,A
29,12,93,5,3,0,20,20,6,Electric,A
38,12,94,6,1,0,20,20,7,Electric,A
29,12,94,6,2,0,20,20,6,Electric,A
46,12,94,6,3,1,15,20,8,Electric,A
14,12,95,7,1,0,20,25,7,Gasoline,A
8,12,95,7,2,1,20,30,6,Gasoline,A
39,12,95,7,3,0,25,20,7,Electric,A
49,12,96,8,1,0,15,25,8,Electric,A
53,12,96,8,2,1,20,30,8,Electric,A
42,12,96,8,3,0,25,25,7,Electric,A
36,13,97,1,1,0,25,30,6,Electric,A
34,13,97,1,2,1,15,30,6,Electric,A
24,13,97,1,3,0,25,25,8,Gasoline,A
26,13,98,2,1,1,20,30,8,Gasoline,A
35,13,98,2,2,0,20,30,6,Electric,A
41,13,98,2,3,0,20,25,7,Electric,A
13,13,99,3,1,1,15,25,7,Gasoline,A
18,13,99,3,2,0,25,30,7,Gasoline,A
25,13,99,3,3,0,15,30,8,Gasoline,A
49,13,100,4,1,0,15,25,8,Electric,A
38,13,100,4,2,1,20,20,7,Electric,A
6,13,100,4,3,0,25,25,6,Gasoline,A
27,13,101,5,1,0,25,30,8,Gasoline,A
51,13,101,5,2,0,25,25,8,Electric,A
53,13,101,5,3,1,20,30,8,Electric,A
32,13,102,6,1,0,20,25,6,Electric,A
8,13,102,6,2,0,20,30,6,Gasoline,A
25,13,102,6,3,1,15,30,8,Gasoline,A
17,13,103,7,1,0,20,30,7,Gasoline,A
35,13,103,7,2,0,20,30,6,Electric,A
52,13,103,7,3,1,15,30,8,Electric,A
24,13,104,8,1,1,25,25,8,Gasoline,A
33,13,104,8,2,0,25,25,6,Electric,A
30,13,104,8,3,0,25,20,6,Electric,A
45,14,105,1,1,0,25,30,7,Electric,A
25,14,105,1,2,1,15,30,8,Gasoline,A
6,14,105,1,3,0,25,25,6,Gasoline,A
19,14,106,2,1,1,15,20,8,Gasoline,A
52,14,106,2,2,0,15,30,8,Electric,A
44,14,106,2,3,0,20,30,7,Electric,A
39,14,107,3,1,0,25,20,7,Electric,A
15,14,107,3,2,0,25,25,7,Gasoline,A
18,14,107,3,3,1,25,30,7,Gasoline,A
12,14,108,4,1,0,25,20,7,Gasoline,A
36,14,108,4,2,0,25,30,6,Electric,A
38,14,108,4,3,1,20,20,7,Electric,A
13,14,109,5,1,1,15,25,7,Gasoline,A
31,14,109,5,2,0,15,25,6,Electric,A
24,14,109,5,3,0,25,25,8,Gasoline,A
25,14,110,6,1,1,15,30,8,Gasoline,A
42,14,110,6,2,0,25,25,7,Electric,A
45,14,110,6,3,0,25,30,7,Electric,A
21,14,111,7,1,0,25,20,8,Gasoline,A
5,14,111,7,2,1,20,25,6,Gasoline,A
30,14,111,7,3,0,25,20,6,Electric,A
48,14,112,8,1,0,25,20,8,Electric,A
7,14,112,8,2,1,15,30,6,Gasoline,A
36,14,112,8,3,0,25,30,6,Electric,A
8,15,113,1,1,0,20,30,6,Gasoline,A
28,15,113,1,2,1,15,20,6,Electric,A
29,15,113,1,3,0,20,20,6,Electric,A
30,15,114,2,1,0,25,20,6,Electric,A
6,15,114,2,2,0,25,25,6,Gasoline,A
35,15,114,2,3,1,20,30,6,Electric,A
17,15,115,3,1,1,20,30,7,Gasoline,A
51,15,115,3,2,0,25,25,8,Electric,A
24,15,115,3,3,0,25,25,8,Gasoline,A
8,15,116,4,1,1,20,30,6,Gasoline,A
1,15,116,4,2,0,15,20,6,Gasoline,A
2,15,116,4,3,0,20,20,6,Gasoline,A
11,15,117,5,1,0,20,20,7,Gasoline,A
5,15,117,5,2,0,20,25,6,Gasoline,A
40,15,117,5,3,1,15,25,7,Electric,A
13,15,118,6,1,1,15,25,7,Gasoline,A
30,15,118,6,2,0,25,20,6,Electric,A
25,15,118,6,3,0,15,30,8,Gasoline,A
9,15,119,7,1,0,25,30,6,Gasoline,A
43,15,119,7,2,1,15,30,7,Electric,A
48,15,119,7,3,0,25,20,8,Electric,A
9,15,120,8,1,1,25,30,6,Gasoline,A
21,15,120,8,2,0,25,20,8,Gasoline,A
35,15,120,8,3,0,20,30,6,Electric,A
19,16,121,1,1,1,15,20,8,Gasoline,A
46,16,121,1,2,0,15,20,8,Electric,A
3,16,121,1,3,0,25,20,6,Gasoline,A
23,16,122,2,1,0,20,25,8,Gasoline,A
39,16,122,2,2,0,25,20,7,Electric,A
49,16,122,2,3,1,15,25,8,Electric,A
24,16,123,3,1,0,25,25,8,Gasoline,A
52,16,123,3,2,1,15,30,8,Electric,A
35,16,123,3,3,0,20,30,6,Electric,A
46,16,124,4,1,1,15,20,8,Electric,A
12,16,124,4,2,0,25,20,7,Gasoline,A
15,16,124,4,3,0,25,25,7,Gasoline,A
12,16,125,5,1,0,25,20,7,Gasoline,A
32,16,125,5,2,1,20,25,6,Electric,A
5,16,125,5,3,0,20,25,6,Gasoline,A
46,16,126,6,1,0,15,20,8,Electric,A
22,16,126,6,2,1,15,25,8,Gasoline,A
47,16,126,6,3,0,20,20,8,Electric,A
49,16,127,7,1,1,15,25,8,Electric,A
4,16,127,7,2,0,15,25,6,Gasoline,A
45,16,127,7,3,0,25,30,7,Electric,A
52,16,128,8,1,1,15,30,8,Electric,A
31,16,128,8,2,0,15,25,6,Electric,A
46,16,128,8,3,0,15,20,8,Electric,A
5,17,129,1,1,1,20,25,6,Gasoline,A
40,17,129,1,2,0,15,25,7,Electric,A
35,17,129,1,3,0,20,30,6,Electric,A
1,17,130,2,1,1,15,20,6,Gasoline,A
18,17,130,2,2,0,25,30,7,Gasoline,A
40,17,130,2,3,0,15,25,7,Electric,A
4,17,131,3,1,1,15,25,6,Gasoline,A
38,17,131,3,2,0,20,20,7,Electric,A
18,17,131,3,3,0,25,30,7,Gasoline,A
18,17,132,4,1,0,25,30,7,Gasoline,A
8,17,132,4,2,1,20,30,6,Gasoline,A
41,17,132,4,3,0,20,25,7,Electric,A
19,17,133,5,1,1,15,20,8,Gasoline,A
39,17,133,5,2,0,25,20,7,Electric,A
11,17,133,5,3,0,20,20,7,Gasoline,A
34,17,134,6,1,0,15,30,6,Electric,A
8,17,134,6,2,0,20,30,6,Gasoline,A
10,17,134,6,3,1,15,20,7,Gasoline,A
35,17,135,7,1,0,20,30,6,Electric,A
17,17,135,7,2,1,20,30,7,Gasoline,A
14,17,135,7,3,0,20,25,7,Gasoline,A
12,17,136,8,1,0,25,20,7,Gasoline,A
52,17,136,8,2,1,15,30,8,Electric,A
50,17,136,8,3,0,20,25,8,Electric,A
25,18,137,1,1,1,15,30,8,Gasoline,A
20,18,137,1,2,0,20,20,8,Gasoline,A
32,18,137,1,3,0,20,25,6,Electric,A
52,18,138,2,1,1,15,30,8,Electric,A
49,18,138,2,2,0,15,25,8,Electric,A
48,18,138,2,3,0,25,20,8,Electric,A
54,18,139,3,1,0,25,30,8,Electric,A
32,18,139,3,2,0,20,25,6,Electric,A
23,18,139,3,3,1,20,25,8,Gasoline,A
14,18,140,4,1,1,20,25,7,Gasoline,A
3,18,140,4,2,0,25,20,6,Gasoline,A
44,18,140,4,3,0,20,30,7,Electric,A
26,18,141,5,1,0,20,30,8,Gasoline,A
18,18,141,5,2,0,25,30,7,Gasoline,A
43,18,141,5,3,1,15,30,7,Electric,A
45,18,142,6,1,0,25,30,7,Electric,A
54,18,142,6,2,0,25,30,8,Electric,A
37,18,142,6,3,1,15,20,7,Electric,A
37,18,143,7,1,0,15,20,7,Electric,A
19,18,143,7,2,1,15,20,8,Gasoline,A
39,18,143,7,3,0,25,20,7,Electric,A
9,18,144,8,1,0,25,30,6,Gasoline,A
6,18,144,8,2,0,25,25,6,Gasoline,A
48,18,144,8,3,1,25,20,8,Electric,A
39,19,145,1,1,0,25,20,7,Electric,A
6,19,145,1,2,0,25,25,6,Gasoline,A
22,19,145,1,3,1,15,25,8,Gasoline,A
10,19,146,2,1,0,15,20,7,Gasoline,A
1,19,146,2,2,1,15,20,6,Gasoline,A
35,19,146,2,3,0,20,30,6,Electric,A
43,19,147,3,1,1,15,30,7,Electric,A
24,19,147,3,2,0,25,25,8,Gasoline,A
41,19,147,3,3,0,20,25,7,Electric,A
2,19,148,4,1,0,20,20,6,Gasoline,A
39,19,148,4,2,0,25,20,7,Electric,A
10,19,148,4,3,1,15,20,7,Gasoline,A
38,19,149,5,1,1,20,20,7,Electric,A
20,19,149,5,2,0,20,20,8,Gasoline,A
51,19,149,5,3,0,25,25,8,Electric,A
49,19,150,6,1,1,15,25,8,Electric,A
19,19,150,6,2,0,15,20,8,Gasoline,A
38,19,150,6,3,0,20,20,7,Electric,A
38,19,151,7,1,0,20,20,7,Electric,A
21,19,151,7,2,0,25,20,8,Gasoline,A
44,19,151,7,3,1,20,30,7,Electric,A
35,19,152,8,1,0,20,30,6,Electric,A
17,19,152,8,2,1,20,30,7,Gasoline,A
15,19,152,8,3,0,25,25,7,Gasoline,A
19,20,153,1,1,1,15,20,8,Gasoline,A
44,20,153,1,2,0,20,30,7,Electric,A
42,20,153,1,3,0,25,25,7,Electric,A
44,20,154,2,1,0,20,30,7,Electric,A
22,20,154,2,2,0,15,25,8,Gasoline,A
13,20,154,2,3,1,15,25,7,Gasoline,A
35,20,155,3,1,1,20,30,6,Electric,A
38,20,155,3,2,0,20,20,7,Electric,A
53,20,155,3,3,0,20,30,8,Electric,A
9,20,156,4,1,0,25,30,6,Gasoline,A
10,20,156,4,2,1,15,20,7,Gasoline,A
18,20,156,4,3,0,25,30,7,Gasoline,A
24,20,157,5,1,0,25,25,8,Gasoline,A
11,20,157,5,2,0,20,20,7,Gasoline,A
46,20,157,5,3,1,15,20,8,Electric,A
7,20,158,6,1,1,15,30,6,Gasoline,A
12,20,158,6,2,0,25,20,7,Gasoline,A
9,20,158,6,3,0,25,30,6,Gasoline,A
18,20,159,7,1,0,25,30,7,Gasoline,A
10,20,159,7,2,0,15,20,7,Gasoline,A
46,20,159,7,3,1,15,20,8,Electric,A
14,20,160,8,1,0,20,25,7,Gasoline,A
52,20,160,8,2,1,15,30,8,Electric,A
38,20,160,8,3,0,20,20,7,Electric,A
13,21,161,1,1,1,15,25,7,Gasoline,A
15,21,161,1,2,0,25,25,7,Gasoline,A
44,21,161,1,3,0,20,30,7,Electric,A
43,21,162,2,1,1,15,30,7,Electric,A
6,21,162,2,2,0,25,25,6,Gasoline,A
28,21,162,2,3,0,15,20,6,Electric,A
14,21,163,3,1,1,20,25,7,Gasoline,A
31,21,163,3,2,0,15,25,6,Electric,A
33,21,163,3,3,0,25,25,6,Electric,A
16,21,164,4,1,0,15,30,7,Gasoline,A
31,21,164,4,2,1,15,25,6,Electric,A
24,21,164,4,3,0,25,25,8,Gasoline,A
8,21,165,5,1,1,20,30,6,Gasoline,A
5,21,165,5,2,0,20,25,6,Gasoline,A
17,21,165,5,3,0,20,30,7,Gasoline,A
41,21,166,6,1,0,20,25,7,Electric,A
35,21,166,6,2,1,20,30,6,Electric,A
8,21,166,6,3,0,20,30,6,Gasoline,A
35,21,167,7,1,0,20,30,6,Electric,A
49,21,167,7,2,1,15,25,8,Electric,A
45,21,167,7,3,0,25,30,7,Electric,A
39,21,168,8,1,0,25,20,7,Electric,A
16,21,168,8,2,1,15,30,7,Gasoline,A
1,21,168,8,3,0,15,20,6,Gasoline,A
26,22,169,1,1,1,20,30,8,Gasoline,A
38,22,169,1,2,0,20,20,7,Electric,A
47,22,169,1,3,0,20,20,8,Electric,A
25,22,170,2,1,1,15,30,8,Gasoline,A
48,22,170,2,2,0,25,20,8,Electric,A
47,22,170,2,3,0,20,20,8,Electric,A
9,22,171,3,1,0,25,30,6,Gasoline,A
35,22,171,3,2,0,20,30,6,Electric,A
4,22,171,3,3,1,15,25,6,Gasoline,A
2,22,172,4,1,0,20,20,6,Gasoline,A
5,22,172,4,2,1,20,25,6,Gasoline,A
41,22,172,4,3,0,20,25,7,Electric,A
50,22,173,5,1,0,20,25,8,Electric,A
11,22,173,5,2,0,20,20,7,Gasoline,A
2,22,173,5,3,1,20,20,6,Gasoline,A
22,22,174,6,1,1,15,25,8,Gasoline,A
37,22,174,6,2,0,15,20,7,Electric,A
15,22,174,6,3,0,25,25,7,Gasoline,A
23,22,175,7,1,0,20,25,8,Gasoline,A
19,22,175,7,2,1,15,20,8,Gasoline,A
50,22,175,7,3,0,20,25,8,Electric,A
30,22,176,8,1,0,25,20,6,Electric,A
11,22,176,8,2,0,20,20,7,Gasoline,A
19,22,176,8,3,1,15,20,8,Gasoline,A
17,23,177,1,1,0,20,30,7,Gasoline,A
21,23,177,1,2,0,25,20,8,Gasoline,A
10,23,177,1,3,1,15,20,7,Gasoline,A
36,23,178,2,1,0,25,30,6,Electric,A
1,23,178,2,2,0,15,20,6,Gasoline,A
16,23,178,2,3,1,15,30,7,Gasoline,A
14,23,179,3,1,0,20,25,7,Gasoline,A
35,23,179,3,2,0,20,30,6,Electric,A
17,23,179,3,3,1,20,30,7,Gasoline,A
25,23,180,4,1,1,15,30,8,Gasoline,A
1,23,180,4,2,0,15,20,6,Gasoline,A
34,23,180,4,3,0,15,30,6,Electric,A
41,23,181,5,1,0,20,25,7,Electric,A
28,23,181,5,2,1,15,20,6,Electric,A
45,23,181,5,3,0,25,30,7,Electric,A
53,23,182,6,1,0,20,30,8,Electric,A
46,23,182,6,2,1,15,20,8,Electric,A
10,23,182,6,3,0,15,20,7,Gasoline,A
46,23,183,7,1,0,15,20,8,Electric,A
34,23,183,7,2,1,15,30,6,Electric,A
15,23,183,7,3,0,25,25,7,Gasoline,A
23,23,184,8,1,0,20,25,8,Gasoline,A
49,23,184,8,2,0,15,25,8,Electric,A
31,23,184,8,3,1,15,25,6,Electric,A
48,24,185,1,1,0,25,20,8,Electric,A
34,24,185,1,2,0,15,30,6,Electric,A
25,24,185,1,3,1,15,30,8,Gasoline,A
37,24,186,2,1,1,15,20,7,Electric,A
3,24,186,2,2,0,25,20,6,Gasoline,A
